"","name","aqi","idx","lat","lon","url","dominentpol","time","tz","t","h","p","pm10","so2","no2","pm25","co","o3","w","r","wd","d","pol","uvi","mepaqi","pm1","time_estern"
"4398","Coquimbo",38,4977,-29.970390235273,-71.336038250122,"http://aqicn.org/city/chile/coquimbo/","pm25","2017-03-29 20:00:00","-03:00",19.15,72,1015,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-29 22:53:55
"4399","Viña del Mar",30,4978,-33.020419817382,-71.550092842922,"http://aqicn.org/city/chile/vina-del-mar/","pm10","2017-03-29 19:00:00","-03:00",19.12,77,1017,30,15.1,9.1,16,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-29 22:53:55
"4400","Quilpue",NA,4979,-33.047466597243,-71.434512871895,"http://aqicn.org/city/chile/quilpue/","","2016-10-14 06:00:00","-0300",10.83,75,NA,28,8.7,17.3,NA,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-29 22:53:55
"4401","Coyhaique 2",NA,4980,-45.578553800868,-72.050315875206,"http://aqicn.org/city/chile/coyhaique-2/","","2015-01-26 08:00:00","-0300",15.45,51,NA,NA,NA,NA,NA,NA,7,1.72,0,NA,NA,NA,3.6462,NA,NA,2017-03-29 22:53:55
"4402","Punta Arenas",34,4981,-53.158295492238,-70.921497482453,"http://aqicn.org/city/chile/punta-arenas/","pm25","2017-03-29 19:00:00","-03:00",12.62,58,1018,NA,NA,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-29 22:53:55
"4403","Arica",49,4982,-18.483427991456,-70.290550727043,"http://aqicn.org/city/chile/arica/","pm25","2017-03-29 19:00:00","-03:00",20.15,72,1012,NA,NA,NA,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-29 22:53:55
"4404","Atsubetsuchuo 2 Jo, Hokkaido Prefecture",78,4983,43.0362741,141.4655651,"http://aqicn.org/city/japan/sapporoshiashibetsuku/ashibetsu/","pm25","2017-03-30 07:00:00","+09:00",-0.85,100,1017,17,1.5,18.6,78,4.5,10.4,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-29 22:53:55
"4405","Wakahamacho, Sakata, Yamagata",42,4984,38.9133641,139.8490646,"http://aqicn.org/city/japan/jiutianshi/jiutianruobin/","pm25","2017-03-30 06:00:00","+09:00",8.63,99,1030.39,10,1.5,NA,42,NA,368,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-29 22:53:55
"4406","Nyuzen, Toyama",59,4985,36.9362911,137.5052632,"http://aqicn.org/city/japan/xiaxinchuanjunrushanding/rushan/","pm25","2017-03-30 06:00:00","+09:00",-8.87,71,1018,13,1.5,11.2,59,NA,30.4,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-29 22:53:55
"4407","Higashimoji, Fukuoka",99,4986,33.9472322,130.9746225,"http://aqicn.org/city/japan/kitakyushushimojiku/mojikokansokukyoku/","pm25","2017-03-30 07:00:00","+09:00",11.83,93,1019,53,1.5,18.6,99,2.3,9.6,0.2,NA,NA,NA,NA,NA,NA,NA,2017-03-29 22:53:55
"4408","Otomaru, Fukuoka",122,4987,33.9066695,130.6975722,"http://aqicn.org/city/japan/kitakyushushiwakamatsuku/egawakansokukyoku/","pm25","2017-03-30 07:00:00","+09:00",11.83,93,1019,51,5.8,37.1,122,4.5,6.4,0.8,NA,NA,NA,NA,NA,NA,NA,2017-03-29 22:53:55
"4409","Shimosone, Fukuoka",97,4988,33.8299697,130.9393035,"http://aqicn.org/city/japan/kitakyushushikokuraminamiku/sonekansokukyoku/","pm25","2017-03-30 07:00:00","+09:00",11.83,93,1019,51,2.9,27.8,97,4.5,4.8,0.3,NA,NA,NA,NA,NA,NA,NA,2017-03-29 22:53:55
"4410","Tono, Fukuoka",95,4989,33.8252578,130.7378768,"http://aqicn.org/city/japan/kitakyushushiyahatanishiku/tonokansokukyoku/","pm25","2017-03-30 07:00:00","+09:00",11.83,93,1019,52,2.9,10.2,95,4.5,17.6,0.8,NA,NA,NA,NA,NA,NA,NA,2017-03-29 22:53:55
"4411","Mitai, Miyazaki",68,4990,32.7057849,131.3054731,"http://aqicn.org/city/japan/nishiusukiguntakachihomachi/dakachihohokenjo/","pm25","2017-03-30 06:00:00","+09:00",13.15,93,1020,NA,1.5,NA,68,NA,1.6,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-29 22:53:55
"4412","Beaux Arts, Angers, Loire",61,4991,47.4685,-0.555933,"http://aqicn.org/city/france/loire/angers/beaux-arts/","pm25","2017-03-30 00:00:00","+01:00",10.15,81,1025,17,NA,25.6,61,NA,12.6,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-29 22:53:55
"4413","Saint-Denis d'Anjou, la Mayenne, Loire",46,4992,47.7883,-0.444706,"http://aqicn.org/city/france/loire/la-mayenne/saint-denis-danjou/","pm25","2017-03-30 00:00:00","+01:00",12.255,78.5,1025,18,NA,6.4,46,NA,21.6,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-29 22:53:55
"4414","la Tardière, la Vendée, Loire",53,4993,46.6566,-0.743367,"http://aqicn.org/city/france/loire/la-vendee/la-tardiere/","pm25","2017-03-29 23:00:00","+01:00",11.15,76,1025,15,NA,4.6,53,NA,28.9,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-29 22:53:55
"4415","Sources, Le Mans, Loire",31,4994,47.9711,0.221456,"http://aqicn.org/city/france/loire/le-mans/sources/","o3","2017-03-30 00:00:00","+01:00",12.15,76,1007.78,11,NA,4.6,30,NA,30.9,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-29 22:53:55
"4416","Bouteillerie, Nantes, Loire",55,4995,47.2222,-1.53743,"http://aqicn.org/city/france/loire/nantes/bouteillerie/","pm25","2017-03-30 00:00:00","+01:00",12.47,66,1024,19,NA,27.5,55,0.1,14.7,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-29 22:53:55
"4417","Victor Hugo, Nantes, Loire",70,4996,47.2044,-1.55291,"http://aqicn.org/city/france/loire/nantes/victor-hugo/","pm25","2017-03-30 00:00:00","+01:00",12.47,66,1024,26,NA,39.8,70,0.1,14.7,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-29 22:53:55
"4418","Blum, Saint-Nazaire, Loire",38,4997,47.2641,-2.25012,"http://aqicn.org/city/france/loire/saint-nazaire/blum/","pm25","2017-03-30 00:00:00","+01:00",10.78,76,1024,11,NA,6.4,38,NA,30.1,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-29 22:53:55
"4419","Saint-Exupery, Cholet, Loire",23,4998,47.0558,-0.883553,"http://aqicn.org/city/france/loire/cholet/saint-exupery/","pm10","2017-03-30 00:00:00","+01:00",10.15,81,1025,23,NA,14.2,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-29 22:53:55
"4420","Frossay, la Basse-Loire, Loire",30,4999,-1.93652,47.2473,"http://aqicn.org/city/france/loire/la-basse-loire/frossay/","o3","2017-03-30 00:00:00","+01:00",10.78,76,1024,20,1.1,3.2,NA,NA,30.1,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-29 22:53:55
"4421","Plessis, la Basse-Loire, Loire",0,5000,47.3189,-2.06686,"http://aqicn.org/city/france/loire/la-basse-loire/plessis/","co","2017-03-29 23:00:00","+01:00",10.15,81,1025,20,2.6,27.5,NA,0.1,5.7,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-29 22:53:55
"4422","S Etienne de Montluc, la Basse-Loire, Loire",10,5001,47.2831,-1.78308,"http://aqicn.org/city/france/loire/la-basse-loire/s-etienne-de-montluc/","pm10","2017-03-30 00:00:00","+01:00",10.78,76,1024,10,1.1,2.8,NA,0.1,5.7,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-29 22:53:55
