"","name","aqi","idx","lat","lon","url","dominentpol","time","tz","t","h","p","pm10","so2","no2","pm25","co","o3","w","r","wd","d","time_estern","uvi","mepaqi","pm1","time_estern"
"41","Norman Wells, NorthWestTerritories",22,41,"65.279676","-126.812887","http://aqicn.org/city/canada/northwestterritories/norman-wells/","o3","2017-03-24 11:00:00","-05:00",-20.35,79.5,1017,5,1.2,2.6,NA,NA,21.9,2.6,NA,NA,NA,2017-03-24 14:08:03,NA,NA,NA,2017-03-24 22:01:19
"42","Yellowknife, NorthWestTerritories",29,42,"62.452084","-114.364031","http://aqicn.org/city/canada/northwestterritories/yellowknife/","o3","2017-03-24 11:00:00","-05:00",-15.85,71,1015,8,1.3,1.6,25,2.2,29.4,5.1,NA,NA,NA,2017-03-24 14:08:03,NA,NA,NA,2017-03-24 22:01:19
"43","White Plains, New York",27,58,"41.0522","-73.7642","http://aqicn.org/city/usa/newyork/white-plains/","o3","2017-03-24 10:00:00","-04:00",8,37,1027,NA,NA,NA,17,NA,27.2,3.6,NA,260,-6,2017-03-24 14:08:03,NA,NA,NA,2017-03-24 22:01:19
"44","The City College of New York",24,59,"40.8197","-73.9481","http://aqicn.org/city/usa/newyork/ccny/","pm25","2017-03-24 10:00:00","-04:00",8,37,1027,NA,NA,22.5,24,2.3,23.3,3.6,NA,260,-6,2017-03-24 14:08:03,NA,NA,NA,2017-03-24 22:01:19
"45","Intermediate School 74, New York",22,60,"40.814701","-73.886703","http://aqicn.org/city/usa/newyork/is-74/","pm25","2017-03-24 10:00:00","-04:00",7,39,1029,NA,NA,23.8,22,3.4,NA,3.6,NA,250,-6,2017-03-24 14:08:03,NA,NA,NA,2017-03-24 22:01:19
"46","Public School 314, New York",9,61,"40.641819","-74.018707","http://aqicn.org/city/usa/newyork/ps-314/","pm25","2017-03-24 10:00:00","-04:00",7,39,1029,NA,NA,NA,9,NA,36.1,3.6,NA,250,-6,2017-03-24 14:08:03,NA,NA,NA,2017-03-24 22:01:19
"47","Maspeth, New York",13,62,"40.7269","-73.8933","http://aqicn.org/city/usa/newyork/maspeth/","pm25","2017-03-24 10:00:00","-04:00",7,39,1029,NA,NA,22.5,13,2.3,NA,3.6,NA,250,-6,2017-03-24 14:08:03,NA,NA,NA,2017-03-24 22:01:19
"48","Eisenhower Park, New York",18,63,"40.7447","-73.5869","http://aqicn.org/city/usa/newyork/eisenhower-park/","pm25","2017-03-24 10:00:00","-04:00",7,39,1029,NA,NA,NA,18,NA,34.4,3.6,NA,250,-6,2017-03-24 14:08:03,NA,NA,NA,2017-03-24 22:01:19
"49","Intermediate School 143, New York",22,64,"40.8492","-73.9319","http://aqicn.org/city/usa/newyork/is-143/","pm25","2017-03-24 11:00:00","-04:00",8,37,1027,NA,NA,22.5,22,3.4,24.8,3.6,NA,260,-6,2017-03-24 14:08:03,NA,NA,NA,2017-03-24 22:01:19
"50","Fresh Kills West, New York",8,65,"40.5802","-74.1994","http://aqicn.org/city/usa/newyork/fresh-kills-west/","pm25","2017-03-24 10:00:00","-04:00",7,39,1029,NA,NA,NA,8,NA,36.1,3.6,NA,250,-6,2017-03-24 14:08:03,NA,NA,NA,2017-03-24 22:01:19
