"","name","aqi","idx","lat","lon","url","dominentpol","time","tz","t","h","p","pm10","so2","no2","pm25","co","o3","w","r","wd","d","uvi","pol","mepaqi","pm1","time_estern"
"3316","Islamic Institute, Al Ain",NA,3769,55.7348,24.219,"http://aqicn.org/city/uae/al-ain/islamic-institute/","","2016-08-15 07:00:00","+0400",42.79,17,975.52,65,0.1,6.3,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"3317","Salahudeen Alayubi Street, Al Ain",NA,3770,55.765822999886,24.226179818475,"http://aqicn.org/city/uae/al-ain/salahudeen-alayubi-street/","","","+0400",26.62,49,976.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"3318","Al Tawia, Al Ain",NA,3771,24.259283538347,55.704940681812,"http://aqicn.org/city/uae/al-ain/al-tawia/","","2016-08-15 07:00:00","+0400",42.79,17,975.52,81,0.1,6.7,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"3319","Zakher, Al Ain",NA,3772,24.163481386998,55.702198683012,"http://aqicn.org/city/uae/al-ain/zakher/","","2016-08-15 07:00:00","+0400",42.79,17,975.52,85,0.1,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"3320","Al Qua’a",NA,3773,23.530808734503,55.485926239329,"http://aqicn.org/city/uae/al-quaa/","","2016-08-15 07:00:00","+0400",39.09,59,1012,119,0.2,0.9,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"3321","Bain Al Jessrain",NA,3774,24.403725901797,54.516212598318,"http://aqicn.org/city/uae/bain-al-jessrain/","","2016-08-15 07:00:00","+0400",37.87,63,1009.99,38,0.9,22.2,NA,0.1,9,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"3322","Saad Bin Obadah Primary School, Baniyas",NA,3775,24.321381522137,54.636042214337,"http://aqicn.org/city/uae/baniyas/saad-bin-obadah-primary-school/","","","+0400",30.07,100,1012.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"3323","Municipality Branch office, Bida Zayed",NA,3776,23.652132175858,53.70308522441,"http://aqicn.org/city/uae/bida-zayed/municipality-branch-office/","","2016-08-15 07:00:00","+0400",37.87,63,1009.99,66,0.9,11.1,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"3324","From Tariff to Abu Al Abiad, E11 Road",NA,3777,24.0425475,53.9142215,"http://aqicn.org/city/uae/e11-road/from-tariff-to-abu-al-abiad/","","","+0400",28.52,83,1013.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"3325","Al Muttahidia Girl School, Gayathi",NA,3778,23.835604488777,52.810021963541,"http://aqicn.org/city/uae/gayathi/al-muttahidia-girl-school/","","2016-08-15 02:00:00","+0400",31.42,69,1008.77,1,0.2,0.1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"3326","Habshan South",NA,3779,23.750412552584,53.745855222943,"http://aqicn.org/city/uae/habshan-south/","","2016-08-15 07:00:00","+0400",39.09,59,1012,48,1.5,4.9,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"3327","Ruwais",NA,3780,24.090873200699,52.754769983379,"http://aqicn.org/city/uae/ruwais/","","2016-08-15 07:00:00","+0400",38.84,64,1009.32,54,1.2,11.6,NA,0.1,15,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"3328","School, Sweihan",NA,3781,55.342881035444,24.466681826205,"http://aqicn.org/city/uae/sweihan/school/","","2016-08-15 07:00:00","+0400",42.79,17,975.52,65,0.1,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"3329","Kalifah High School, Abu Dhabi City",NA,3782,24.430161959449,54.408089939621,"http://aqicn.org/city/uae/abu-dhabi-city/kalifah-high-school/","","2016-08-15 07:00:00","+0400",39.09,59,1012,82,1.5,18.8,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"3330","Al Mafraq",NA,3783,24.286252157816,54.588893284149,"http://aqicn.org/city/uae/al-mafraq/","","","+0400",30.07,100,1012.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"3331","Station, Mussafah",NA,3784,24.34729485046,54.502930496391,"http://aqicn.org/city/uae/mussafah/station/","","","+0400",30.07,100,1012.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"3332","Xiǎoshān, Tangshan",119,3786,39.63,118.2,"http://aqicn.org/city/hebei/tangshanshi/xiaoshan/","pm25","2017-03-28 01:00:00","+08:00",7,57,1022,61,23.4,51.4,119,8,1.3,1.8,NA,180,-1,NA,NA,NA,NA,2017-03-27 17:10:11
"3333","No.2 Middle School, Hangzhou",154,3787,30.0469,119.9518,"http://aqicn.org/city/zhejiang/hangzhoushifuyangshi/zhenerzhong/","pm25","2017-03-28 00:00:00","+08:00",5.51,82,1017.89,74,6.1,16,154,7.3,15.5,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"3334","City Hall, Hangzhou",124,3788,30.23666667,119.7186111,"http://aqicn.org/city/zhejiang/hangzhoushilinanshi/shifudalou/","pm25","2017-03-28 01:00:00","+08:00",5.51,82,1017.89,69,13.7,15.6,124,6.4,19.1,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"3335","No. 4 middle school, Hangzhou",114,3789,30.23194444,119.6947222,"http://aqicn.org/city/zhejiang/hangzhoushilinanshi/disizhongxue/","pm25","2017-03-28 01:00:00","+08:00",5.51,82,1017.89,64,7.6,11.5,114,4.6,11.8,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"3336","Dongpu Town Governement, Shaoxing",117,3790,30.052161,120.535708,"http://aqicn.org/city/zhejiang/shaoxingshi/dongpuzhenzhengfu/","pm25","2017-03-28 00:00:00","+08:00",5.51,82,1017.89,63,4.1,6.4,117,4.6,37,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"3337","Beiyuan, Jinhua",114,3791,29.33536389,120.0786111,"http://aqicn.org/city/zhejiang/jinhuashiyiwushi/beiyuan/","pm25","2017-03-28 01:00:00","+08:00",6.01,80,1009.13,68,9.2,12.4,114,10,39.8,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"3338","Jiangdong, Jinhua",117,3792,29.30496389,120.0905556,"http://aqicn.org/city/zhejiang/jinhuashiyiwushi/jiangdong/","pm25","2017-03-28 01:00:00","+08:00",6.01,80,1009.13,69,9.2,15.1,117,8.2,37.8,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"3339","Meirakucho, Aichi",34,3793,35.1697717,136.863116,"http://aqicn.org/city/japan/mingguwushizhongcunqu/zhongcunbaojiansuo/","pm25","2017-03-28 02:00:00","+09:00",-0.44,91,1019,8,2.9,9.3,34,3.4,32.8,3.5,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"3340","Sakaihigashi, Niigata",30,3794,37.8806672,138.9867936,"http://aqicn.org/city/japan/nigatashinishiku/sakaiwa/","pm25","2017-03-28 01:00:00","+09:00",3.93,96,1007.64,10,1.5,1.9,30,2.3,42.4,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"3341","Seki, Sado, Niigata",46,3795,38.2492542,138.4156104,"http://aqicn.org/?city=Japan/%E4%BD%90%E6%B8%A1%E5%B8%82/%E5%9B%BD%E8%A8%AD%E4%BD%90%E6%B8%A1%E9%96%A2%E5%B2%AC%E9%85%B8%E6%80%A7%E9%9B%A8","pm25","2017-03-28 02:00:00","+09:00",6.56,100,1027.13,NA,1.5,1,46,NA,41.6,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"3342","Nishikimachi, Asahikawa, Hokkaido Prefecture",72,3796,43.7943399,142.329035,"http://aqicn.org/city/japan/asahikawashi/kitamon/","pm25","2017-03-28 02:00:00","+09:00",-8.69,76,1013,14,NA,28.8,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"3343","Nihongi, Kumamoto",NA,3798,32.7822739,130.6898184,"http://aqicn.org/city/japan/xiongbenshi/guding/","co","2015-02-18 15:00:00","+0900",7.73,57,975.57,42,4.3,8.4,95,9.3,33,2.82,0,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"3344","Suidocho, Kumamoto",NA,3799,32.8044115,130.7140239,"http://aqicn.org/city/japan/xiongbenshi/shuidaodingzipaiju/","","2015-07-20 23:00:00","+0900",22.11,98,1010,13,1.5,8.4,13,1.5,19,1.4,61.8,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"3345","Matsushimamachi Aitsu, Kamiamakusa, Kumamoto",87,3800,32.5162553,130.4322884,"http://aqicn.org/city/japan/ueamakusashimatsushimamachi/joamakusashiaitsu/","pm25","2017-03-28 01:00:00","+09:00",6.15,81,1022,25,1.5,3.8,87,NA,54.5,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"3346","Uchinomaki, Aso, Kumamoto",59,3801,32.9714846,131.0496641,"http://aqicn.org/city/japan/asoshi/asohokenjo/","pm25","2017-03-28 01:00:00","+09:00",4.51,60,1020,NA,NA,NA,59,NA,47.2,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"3347","Hikimizu, Kumamoto",80,3802,32.8796401,130.8824801,"http://aqicn.org/city/japan/juchijundajinding/dajindingyinshui/","pm25","2017-03-28 01:00:00","+09:00",4.51,60,1020,12,1.5,8.4,80,NA,32.8,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"3348","Iwashita, Kumamoto",72,3803,32.653002,130.8084573,"http://aqicn.org/city/japan/shangyichengjunjiazuoding/jiazuodingyanxia/","pm25","2017-03-28 01:00:00","+09:00",4.51,60,1020,27,1.5,6.5,72,NA,32,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"3349","Shiratori, Miyagi",25,3804,38.2648415,140.9762899,"http://aqicn.org/city/japan/sendaishimiyaginoku/nakano/","pm25","2017-03-28 02:00:00","+09:00",1.01,97,1017,4,1.5,6.5,25,2.3,29.6,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"3350","Motosojamachi, Maebashi, Gunma",21,3805,36.3848873,139.0418552,"http://aqicn.org/?city=Japan/%E5%89%8D%E6%A9%8B%E5%B8%82/%E5%9B%BD%E8%A8%AD%E5%89%8D%E6%A9%8B%E8%87%AA%E5%8B%95%E8%BB%8A%E4%BA%A4%E9%80%9A%E7%92%B0%E5%A2%83%E6%B8%AC%E5%AE%9A%E6%89%80","pm25","2017-03-28 02:00:00","+09:00",5.25,74,1016,5,1.5,10.2,21,2.3,37.6,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"3351","Kyomachi Honcho, Kumamoto",82,3806,32.8172684,130.7046886,"http://aqicn.org/city/japan/xiongbenshizhongyangqu/jingding/","pm25","2017-03-28 02:00:00","+09:00",4.51,60,1020,24,1.5,5.6,82,NA,36.8,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"3352","Nirenoki, Kumamoto",91,3807,32.848144,130.7534969,"http://aqicn.org/city/japan/kumamotoshikitaku/tamanoki/","pm25","2017-03-28 01:00:00","+09:00",4.51,60,1020,12,1.5,8.4,91,NA,34.4,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"3353","Shimoayashi, Miyagi",NA,3808,38.2717202,140.7760749,"http://aqicn.org/city/japan/sendaishiaobaku/miyagi/","","2014-08-05 07:00:00","",30.23,94,1003,22,NA,2.8,55,NA,7,1.5,0,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"3354","Sasebo, Nagasaki",63,3809,33.1799153,129.7151101,"http://aqicn.org/city/japan/zuoshibaoshi/jijing/","pm25","2017-03-28 01:00:00","+09:00",6.15,81,1022,13,1.5,2.8,63,4.5,37.6,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"3355","Shindenmachi, Shimabara, Nagasaki",80,3810,32.7890027,130.3748552,"http://aqicn.org/city/japan/shimabarashi/shimabarataikisokuteikyoku/","pm25","2017-03-28 01:00:00","+09:00",6.15,81,1022,30,1.5,3.8,80,NA,48.8,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"3356","Osetocho Yukinourashimogo, Saikai, Nagasaki",NA,3814,32.9193716,129.664689,"http://aqicn.org/city/japan/xihaishi/xuepu/","","","",22.15,56,1012,NA,NA,NA,NA,NA,NA,4.6,5,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"3357","Momozugo, Nagasaki",NA,3816,33.068485,129.86342,"http://aqicn.org/city/japan/higashisonogigunkawatanamachi/kawatana/","","","",22.15,56,1012,NA,NA,NA,NA,NA,NA,4.6,2.5,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"3358","Ecole Basse-Jarrie",NA,3817,45.087371029,5.740938496,"http://aqicn.org/city/france/rhonealpes/isere/ecole-basse-jarrie/","","","+0100",-0.48,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"3359","Nord, Strasbourg, Alsace",29,3818,48.6231848,7.7117787,"http://aqicn.org/city/france/alsace/strasbourg/nord/","o3","2017-03-27 17:00:00","+01:00",18.81,32,1005.17,16,NA,8.7,NA,NA,28.5,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"3360","Est, Strasbourg, Alsace",46,3819,7.739581,48.59405,"http://aqicn.org/city/france/alsace/strasbourg/est/","pm25","2017-03-27 18:00:00","+01:00",17.81,31,1005.17,NA,NA,17,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"3361","A35, Strasbourg, Alsace",37,3820,48.5732069,7.730335,"http://aqicn.org/city/france/alsace/strasbourg/a35/","pm10","2017-03-27 18:00:00","+01:00",17.81,31,1005.17,37,NA,45.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"3362","Clemenceau, Strasbourg, Alsace",10,3821,48.5919675,7.7547035,"http://aqicn.org/city/france/alsace/strasbourg/clemenceau/","pm10","2017-03-27 18:00:00","+01:00",17.81,31,1005.17,10,0.6,30.7,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"3363","Centre, Colmar, Alsace",NA,3822,7.4165528,48.0635744,"http://aqicn.org/city/france/alsace/colmar/centre/","","2017-03-27 18:00:00","+01:00",17.81,31,976.9,12,0.6,24.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"3364","Nord, Mulhouse, Alsace",18,3823,48.86353,6.78625,"http://aqicn.org/city/france/alsace/mulhouse/nord/","pm10","2017-03-27 18:00:00","+01:00",17.81,48,1020,18,NA,14.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"3365","Sud, Mulhouse, Alsace",55,3824,7.3083521,47.7276212,"http://aqicn.org/city/france/alsace/mulhouse/sud/","pm25","2017-03-27 18:00:00","+01:00",17.81,31,976.9,19,NA,5.5,55,NA,32.1,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"3366","Nord-Est Alsace, Alsace",32,3825,48.9182,6.8684,"http://aqicn.org/city/france/alsace/nord-est-alsace/","o3","2017-03-27 18:00:00","+01:00",17.81,48,1020,10,1.6,7.4,NA,NA,31.7,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"3367","C.C. 3 Frontières, Alsace",32,3826,47.5850783,7.5830174,"http://aqicn.org/city/france/alsace/c.c.-3-frontieres/","o3","2017-03-27 17:00:00","+01:00",17.66,34,1020,11,NA,5.1,NA,NA,31.7,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"3368","Toulouse Mazades",38,3827,43.623580410978,1.4385464787483,"http://aqicn.org/city/france/midipyrenees/toulouse-mazades/","o3","2017-03-27 17:00:00","+01:00",17.74,59,1018,11,NA,4.8,NA,NA,38.3,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"3369","Toulouse Berthelot",40,3828,43.58733089884,1.4440262317657,"http://aqicn.org/city/france/midipyrenees/toulouse-berthelot/","o3","2017-03-27 17:00:00","+01:00",17.74,59,1018,9,0.3,5.7,22,NA,39.8,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"3370","Toulouse-Rte D'Albi",NA,3829,43.64306,1.46765,"http://aqicn.org/city/france/midipyrenees/toulouse-rte-dalbi/","","2015-10-13 06:00:00","+0100",12.22,87,1017,15,NA,21.2,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"3371","Blagnac Aéroport Côté Pistes",10,3830,1.3772459328175,43.625303393595,"http://aqicn.org/city/france/midipyrenees/blagnac-aeroport-cote-pistes/","pm10","2017-03-27 14:00:00","+01:00",19.73,48,1017,10,NA,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"3372","Lourdes Lapacca",NA,3831,43.0979798,-0.0394276,"http://aqicn.org/city/france/midipyrenees/lourdes-lapacca/","","2015-10-13 07:00:00","+0100",15.21,82,1018,15,NA,11.2,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"3373","Toulouse ZI Chapitre",17,3832,43.556412031777,1.4039245247841,"http://aqicn.org/city/france/midipyrenees/toulouse-zi-chapitre/","pm10","2017-03-27 13:00:00","+01:00",19.73,48,1017,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"3374","Toulouse Eisenhower",NA,3833,43.559981411398,1.3934317231178,"http://aqicn.org/city/france/midipyrenees/toulouse-eisenhower/","","2017-03-25 12:00:00","+01:00",5.405,88,1015.28,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"3375","Albi Sq. Delmas",38,3834,43.927811371903,2.1458798646927,"http://aqicn.org/city/france/midipyrenees/albi-sq.-delmas/","o3","2017-03-27 17:00:00","+01:00",14.15,44,973.9,10,NA,7.8,NA,NA,38.3,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"3376","Blagnac Aéroport Côté Trafic",15,3835,43.633472921793,1.375719755888,"http://aqicn.org/city/france/midipyrenees/blagnac-aeroport-cote-trafic/","pm10","2017-03-27 14:00:00","+01:00",19.73,48,1017,15,NA,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"3377","Toulouse Jacquier",38,3836,43.575704394858,1.4180720932541,"http://aqicn.org/city/france/midipyrenees/toulouse-jacquier/","o3","2017-03-27 17:00:00","+01:00",17.235,61,1018,7,NA,3.5,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"3378","Tarbes J. Dupuy",27,3837,43.230352054732,0.062463283538818,"http://aqicn.org/city/france/midipyrenees/tarbes-j.-dupuy/","o3",NA,"2016-11-10 14:00:00",12,90,1022,4,0,4,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"3379","Peyrusse-Vieille",43,3838,43.628725265475,0.17906427383423,"http://aqicn.org/city/france/midipyrenees/peyrusse-vieille/","pm25","2017-03-27 14:00:00","+01:00",16.82,45,1018,17,NA,3,43,NA,28.5,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"3380","Bessières",1,3839,1.5954878926277,43.803180716376,"http://aqicn.org/city/france/midipyrenees/bessieres/","pm10","2017-03-27 12:00:00","+01:00",16.15,38,973.9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"3381","Pamiers",37,3840,43.114434739565,1.6225862503052,"http://aqicn.org/city/france/midipyrenees/pamiers/","o3","2017-03-27 16:00:00","+01:00",14.65,71,988.81,NA,NA,NA,NA,NA,36.6,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"3382","Castres",25,3841,43.610435940784,2.2302085161209,"http://aqicn.org/city/france/midipyrenees/castres/","o3",NA,"2016-11-10 14:00:00",9,93,1017,7,NA,2,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"3383","Périphérique",22,3842,1.4496038854122,43.573973758847,"http://aqicn.org/city/france/midipyrenees/peripherique/","pm10","2017-03-27 14:00:00","+01:00",16.42,58,1018,22,NA,36.1,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"3384","Prayssac",NA,3843,44.503852,1.188124,"http://aqicn.org/city/france/midipyrenees/prayssac/","","2015-10-13 05:00:00","+0100",13.05,76,1016,30,NA,3.5,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"3385","Moissac",NA,3844,44.104852,1.08468,"http://aqicn.org/city/france/midipyrenees/moissac/","","2015-06-02 05:00:00","+0100",25.34,57,1020,19,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"3386","Central School, Lucknow",239,3845,26.8465108,80.9466832,"http://aqicn.org/city/india/lucknow/central-school/","pm25","2017-03-27 23:00:00","+05:30",27.65,47.99,757.42,NA,2.6,27.5,239,32.7,10.6,1.95,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"3387","La Florida.",NA,3846,-35.435155,-71.678578,"http://aqicn.org/city/chile/la-florida./","","2015-01-24 06:00:00","-0400",18.01,78,975.26,NA,NA,NA,NA,NA,NA,1.07,0,NA,NA,0.067926,NA,NA,NA,2017-03-27 17:10:11
"3388","Municipal Science and Technology Commission, Jinchang",57,3847,38.5247,102.1878,"http://aqicn.org/city/china/jinchang/shikewei/","pm25","2017-03-28 01:00:00","+08:00",NA,NA,NA,53,1.1,3.2,57,3.7,38.6,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"3389","Jinchuan Company No.2 Guest House, Jinchang",91,3848,38.5061,102.1708,"http://aqicn.org/city/china/jinchang/gongsierzhao/","pm25","2017-03-28 01:00:00","+08:00",NA,NA,NA,61,0.6,2.8,91,8.2,39,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"3390","Xinchuan Court, Jinchang",89,3849,38.5339,102.1725,"http://aqicn.org/city/china/jinchang/xinchuanyuan/","pm25","2017-03-28 01:00:00","+08:00",NA,NA,NA,41,1.1,1.9,89,3.7,38.2,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"3391","Power Administration Bureau, Zhangjiajie",151,3864,29.1242,110.4697,"http://aqicn.org/city/china/zhangjiajie/dianyeju/","pm25","2017-03-28 01:00:00","+08:00",NA,NA,NA,106,3.1,32,151,11.8,4.9,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"3392","Yuanjiajie, Zhangjiajie",78,3865,29.315,110.4417,"http://aqicn.org/city/china/zhangjiajie/yuanjiajie/","pm25","2017-03-28 01:00:00","+08:00",NA,NA,NA,58,5.1,1.9,78,9.1,47.2,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"3393","No.2 middle school, Changde",85,3866,28.9703,111.6975,"http://aqicn.org/city/china/changde/shierzhong/","pm25","2017-03-28 01:00:00","+08:00",18,34,1017,61,36,11.5,85,6.4,21.6,1.8,NA,250,6,NA,NA,NA,NA,2017-03-27 17:10:11
"3394","Dingcheng District EPB, Changde",167,3867,29.0239,111.6753,"http://aqicn.org/city/china/changde/dingchengquhuanbaoju/","pm25","2017-03-28 01:00:00","+08:00",18,34,1017,94,2.6,30.7,167,9.1,10.2,1.8,NA,250,6,NA,NA,NA,NA,2017-03-27 17:10:11
"3395","Municipal Technical Supervision Bureau, Changde",158,3868,29.0381,111.6794,"http://aqicn.org/city/china/changde/shijishujianduju/","pm25","2017-03-28 01:00:00","+08:00",18,34,1017,111,10.7,30.7,158,14.5,9,1.8,NA,250,6,NA,NA,NA,NA,2017-03-27 17:10:11
"3396","Salgótarján, Salgótarján",41,3874,19.80276,48.09444,"http://aqicn.org/city/hungary/salgotarjan/","o3","2017-03-27 18:00:00","+02:00",5.76,64,981.82,14,2.2,1.8,NA,4.4,41.1,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"3397","Debrecen Klinika, Debrecen",39,3875,47.55862,21.627156,"http://aqicn.org/city/hungary/debrecen/debrecen-2/","o3","2017-03-27 18:00:00","+02:00",12.34,70,1023,8,1.4,5.9,NA,NA,39.3,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"3398","Budapest Gergely utca, Budapest",24,3876,47.466982,19.157219,"http://aqicn.org/city/hungary/budapest/bp9-gergely/","pm10","2017-03-27 18:00:00","+02:00",13.15,35,1024,24,1.7,10.5,NA,4.9,1.6,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"3399","Puszczy Solskiej, Warszawa, Mazowieckie",NA,3877,20.9088752,52.2265587,"http://aqicn.org/city/poland/mazowieckie/warszawa/puszczy-solskiej/","","2016-05-23 21:00:00","+02:00",15.41,63,1009,NA,1.1,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"3400","Gimnazjum, Płock, Mazowieckie",22,3878,52.5563285,19.6880419,"http://aqicn.org/city/poland/mazowieckie/plock/gimnazjum/","o3",NA,"2017-02-08 10:00:00",-9,92,1031,NA,1,5,NA,1,22,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"3401","Umedacho, Tsushima, Aichi",13,3879,35.1734129,136.740164,"http://aqicn.org/city/japan/tsushimashi/tsushimashiumedamachi/","pm25","2017-03-28 02:00:00","+09:00",-0.44,91,1019,6,1.5,2.8,13,1.2,31.2,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"3402","Kotobukicho, Kariya, Aichi",38,3880,34.9870776,136.9998432,"http://aqicn.org/city/japan/yigushi/yigushishouding/","pm25","2017-03-28 02:00:00","+09:00",-0.44,91,1019,2,1.5,8.4,38,3.4,31.2,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"3403","Yatsuomotecho, Nishio, Aichi",46,3881,34.878518,137.0760341,"http://aqicn.org/city/japan/nishioshi/aiatsuhomunishioen/","pm25","2017-03-28 02:00:00","+09:00",-0.44,91,1019,11,1.5,6.5,46,1.2,28.1,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"3404","Miyukicho, Gamagori, Aichi",46,3882,34.8296028,137.2224373,"http://aqicn.org/city/japan/pujunshi/pujunshiyuxingding/","pm25","2017-03-28 02:00:00","+09:00",-0.44,91,1019,13,1.5,5.6,46,1.2,34.4,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"3405","Goromaru, Inuyama, Aichi",25,3883,35.3640859,136.9447474,"http://aqicn.org/city/japan/quanshanshi/quanshanxiaofangshu/","pm25","2017-03-28 02:00:00","+09:00",-0.44,91,1019,10,1.5,4.7,25,NA,29.6,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
