"","name","aqi","idx","lat","lon","url","dominentpol","time","tz","t","h","p","pm10","so2","no2","pm25","co","o3","w","r","wd","d","uvi","pol","mepaqi","pm1","time_estern"
"6151","Paris Stade Lenglen, Paris",33,6937,48.8303,2.26972,"http://aqicn.org/city/france/paris/paris-stade-lenglen/","pm10","2017-03-27 13:00:00","+02:00",16.75,48,1019,33,1.6,11.9,79,4.6,1.3,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"6152","Parque Kanata, Cochabamba",NA,6938,-17.4125902,-66.1584437,"http://aqicn.org/city/bolivia/cochabamba/parque-kanata/","","2017-03-21 02:30:00","-04:00",15.15,77,1028,30,NA,18.4,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"6153","Semapa, Cochabamba",NA,6939,-17.3609718,-66.1607009,"http://aqicn.org/city/bolivia/cochabamba/semapa/","","2017-03-24 16:00:00","-04:00",15.15,77,1028,19,NA,2.3,NA,NA,8.7,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"6154","Coña Coña, Cochabamba",NA,6940,-17.3880159,-66.2062244,"http://aqicn.org/city/bolivia/cochabamba/cona-cona/","","2017-03-25 09:00:00","-04:00",15.15,77,1028,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"6155","Belisario, Quito",67,6941,-0.18,-78.49,"http://aqicn.org/city/ecuador/quito/belisario/","pm25","2017-03-27 13:00:00","-05:00",19.15,63.56,1029,NA,NA,NA,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"6156","Carapungo, Quito",NA,6943,-0.098333333333333,-78.447222222222,"http://aqicn.org/city/ecuador/quito/carapungo/","","2017-03-27 14:00:00","-05:00",19.15,62.27,1029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"6157","Los Chillos, Quito",NA,6945,-0.3,-78.46,"http://aqicn.org/city/ecuador/quito/los-chillos/","","2017-03-27 13:00:00","-05:00",19.15,50.76,1029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"6158","Bahía Blanca",25,6946,-38.757463,-62.286891,"http://aqicn.org/city/argentina/bahia-blanca/","o3","2017-03-27 16:00:00","-03:00",1.76,100,1034.75,895,0.8,NA,NA,0.9,25.3,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"6159","nán'ào xiàn zi zhàn, Shantou",91,6947,23.42,117.0219,"http://aqicn.org/city/guangdong/shantou/nanaoxianzizhan/","pm25","2017-03-28 02:00:00","+08:00",13.15,82,1023,48,3.1,2.8,91,3.4,51.9,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"6160","Zhuyuan primary school, Jingmen",97,6956,31.048333333333,112.20138888889,"http://aqicn.org/city/hubei/jingmen/zhuyuanxiaoxue/","pm25","2017-03-28 02:00:00","+08:00",14.66,66,1010.43,60,7.6,10.1,97,7.3,33.8,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"6161","duodao, Jingmen",85,6957,30.9892,112.1969,"http://aqicn.org/city/hubei/jingmen/duodao/","pm25","2017-03-28 02:00:00","+08:00",14.66,66,1010.43,65,9.7,16,85,7.5,25.2,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"6162","shíhuà yī xiǎo, Jingmen",89,6958,31.038611111111,112.22111111111,"http://aqicn.org/city/hubei/jingmen/shihuayixiao/","pm25","2017-03-28 02:00:00","+08:00",14.66,66,1010.43,61,7.6,16,89,6.9,22.4,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"6163","húběi mín yuàn, Enshi",124,6962,30.298888888889,109.50388888889,"http://aqicn.org/city/hubei/enshi/hubeiminyuan/","pm25","2017-03-28 02:00:00","+08:00",5.11,90,NA,61,3.1,12.8,124,5.1,16.3,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"6164","State Power Company, Enshi",122,6963,30.298888888889,109.50388888889,"http://aqicn.org/city/hubei/enshi/zhoudianlizonggongsi/","pm25","2017-03-28 02:00:00","+08:00",5.11,90,NA,60,7.6,18.8,122,7.6,2.9,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"6165","Matoury Kalou, Guyane",4,6964,4.8481583333335,-52.323825,"http://aqicn.org/city/france/guyane/matoury-kalou/","o3",NA,"2017-02-21 05:00:00",24,98,1023,5,1,1,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"6166","San Salvador Centro",102,6965,13.70630556,-89.20011667,"http://aqicn.org/city/el-salavor/san-salvador-centro/","pm25","2017-03-27 13:00:00","-06:00",31.15,45.5,1015.5,NA,NA,NA,102,NA,NA,NA,NA,NA,NA,NA,NA,92.7471,NA,2017-03-27 17:10:11
"6167","San Salvador Este",147,6966,13.71518889,-89.15481944,"http://aqicn.org/city/el-salavor/san-salvador-este/","pm25","2017-03-27 13:00:00","-06:00",31.15,45.5,1015.5,NA,NA,NA,147,NA,NA,NA,NA,NA,NA,NA,NA,128.501,NA,2017-03-27 17:10:11
"6168","Hamakoshien, Nishinomiya, Hyogo Prefecture",46,6967,34.71359,135.3544611,"http://aqicn.org/city/japan/nishinomiyashi/hamakoshien/","pm25","2017-03-28 04:00:00","+09:00",7.15,75,1019,9,1.5,12.1,46,3.4,27.2,0.9,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"6169","Miyanouechō, Owase-shi, Mie-ken",21,6968,34.0801425,136.1927754,"http://aqicn.org/city/japan/owaseshi/owasekenshokuinkosha/","pm25","2017-03-28 03:00:00","+09:00",8.15,100,978.17,6,1.5,1,21,NA,20.8,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"6170","Tenjin, Kameyama-shi, Mie-ken",38,6969,34.8404712,136.4547702,"http://aqicn.org/city/japan/kameyamashi/kameyamaminamihoikusho/","pm25","2017-03-28 03:00:00","+09:00",-0.79,91,1010.51,10,1.5,3.8,38,NA,27.2,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"6171","Glebovskaya, Moscow",17,6970,55.8154194,37.7128781,"http://aqicn.org/city/moscow/glebovskaya/","pm25","2017-03-27 20:00:00","+03:00",1,75,1000,6,NA,10.1,17,1.9,NA,4,NA,260,-3,NA,NA,NA,NA,2017-03-27 17:10:11
"6172","Sector16A Faridabad, Faridaba",172,6971,28.40569,77.312368,"http://aqicn.org/city/india/faridaba/sector16a-faridabad/","pm25","2017-03-28 00:00:00","+05:30",28.52,50.68,731.81,NA,1.2,20.2,172,36.2,1,0.79,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"6173","Lalbagh, Lucknow",302,6972,26.846506,80.936639,"http://aqicn.org/city/india/lucknow/lalbagh/","pm25","2017-03-28 00:00:00","+05:30",25.15,60.24,758.17,NA,6.1,59.2,302,19.8,5.3,1.12,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"6174","Menen",70,6973,50.7934690465272,3.10964187480641,"http://aqicn.org/city/belgium/fla/menen/","pm25","2017-03-27 21:00:00","+01:00",14.44,42.5,1019.5,29,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"6175","Oostrozebeke",78,6974,50.9172284432463,3.30738579966392,"http://aqicn.org/city/belgium/fla/oostrozebeke/","pm25","2017-03-27 21:00:00","+01:00",14.44,42.5,1019.5,38,NA,NA,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"6176","Wielsbeke",78,6975,50.91496,3.376212,"http://aqicn.org/city/belgium/fla/wielsbeke/","pm25","2017-03-27 21:00:00","+01:00",14.44,42.5,1019.5,36,NA,NA,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"6177","Roeselare (brugsesteenweg)",80,6976,50.9531772824605,3.12115559921118,"http://aqicn.org/city/belgium/fla/roeselare-brugsesteenweg/","pm25","2017-03-27 21:00:00","+01:00",14.44,42.5,1019.5,39,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"6178","Roeselare (haven)",78,6977,50.9453592435718,3.152401590783,"http://aqicn.org/city/belgium/fla/roeselare-haven/","pm25","2017-03-27 21:00:00","+01:00",14.44,42.5,1019.5,39,NA,18.3,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"6179","Moerkerke",65,6978,51.254573624673,3.36253588903766,"http://aqicn.org/city/belgium/fla/moerkerke/","pm25","2017-03-27 21:00:00","+01:00",14.44,42.5,1019.5,30,NA,17.4,65,NA,20.4,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"6180","Zwevegem",76,6979,50.814873872134,3.32249431936621,"http://aqicn.org/city/belgium/fla/zwevegem/","pm25","2017-03-27 21:00:00","+01:00",14.44,42.5,1019.5,33,NA,13.3,76,NA,29.3,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
