"","name","aqi","idx","lat","lon","url","dominentpol","time","tz","pm25","o3","no2","co","so2","pm10","h","t","w","wd","d","p","r","uvi","pol","mepaqi","pm1","time_estern","time_estern"
"56","Feuerwehr",30,2886,47.15407,13.50508,"http://aqicn.org/city/austria/feuerwehr/","pm10","2017-03-28 22:00:00","+01:00",NA,NA,8.3,NA,NA,30,88,-1.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"57","Pemberg",9,2887,14.529,46.842,"http://aqicn.org/city/austria/pemberg/","pm10","2017-03-29 02:00:00","+01:00",NA,NA,26.6,NA,1.6,9,80,4.68,NA,NA,NA,1024,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"58","Masenberg, Sender oberhalb von Waldhansl",15,2888,47.34806,15.882222,"http://aqicn.org/city/austria/masenberg--sender-oberhalb-von-waldhansl/","pm10","2017-03-29 02:00:00","+01:00",NA,NA,2.3,NA,1.1,15,80,5.15,NA,NA,NA,1023,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"59","Steirischer Possruck, Remschnigg, Isaak",1,2889,15.36778,46.65195,"http://aqicn.org/city/austria/steirischer-possruck--remschnigg--isaak/","so2","2017-03-28 22:00:00","+01:00",NA,NA,NA,NA,0.6,NA,65,8.83,NA,NA,NA,1024,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"60","Herzogberg",13,2890,46.708333,14.891667,"http://aqicn.org/city/austria/herzogberg/","pm10","2017-03-29 02:00:00","+01:00",NA,NA,7.8,NA,1.1,13,80,4.68,NA,NA,NA,1024,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"61","Rathausgasse 3, Arbeiterkammer",8,2891,46.8138888888889,15.2127777777778,"http://aqicn.org/city/austria/rathausgasse-3--arbeiterkammer/","pm10","2017-03-29 02:00:00","+01:00",NA,NA,3.7,NA,NA,8,80,4.68,NA,NA,NA,1024,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"62","Sterneckstraße",25,2892,46.6266166666667,14.2991444444444,"http://aqicn.org/city/austria/sterneckstrasse/","pm25","2017-03-29 02:00:00","+01:00",25,NA,8.3,NA,1.1,8,81,-3.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"63","Schulzentrum, oberhalb Mölltal-Bundesstraße",8,2893,46.935,13.195833,"http://aqicn.org/city/austria/schulzentrum--oberhalb-molltal-bundesstrasse/","pm10","2017-03-29 02:00:00","+01:00",NA,NA,1.9,NA,NA,8,79,0.25,NA,NA,NA,1022,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"64","Parkplatz Untere Postgasse 2",13,2894,47.1258333333333,13.8083333333333,"http://aqicn.org/city/austria/parkplatz-untere-postgasse-2/","pm10","2017-03-28 22:00:00","+01:00",NA,NA,11.9,0.1,NA,13,88,-1.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"65","Roseggerstraße, hinter Stadtkai, Altersheim",30,2895,15.0891666666667,47.3825,"http://aqicn.org/city/austria/roseggerstrasse--hinter-stadtkai--altersheim/","pm10","2017-03-29 02:00:00","+01:00",NA,NA,15.6,NA,NA,30,80,4.68,NA,NA,NA,1024,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"66","Stadionstraße, südlich des Sportplatzes",11,2896,14.6766666666667,47.1783333333333,"http://aqicn.org/city/austria/stadionstrasse--sudlich-des-sportplatzes/","pm10","2017-03-29 02:00:00","+01:00",NA,NA,6.4,NA,NA,11,80,4.68,NA,NA,NA,1024,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"67","Mühlgasse, Ecke Franz Josef-Straße",21,2897,47.0447222222222,15.1527777777778,"http://aqicn.org/city/austria/muhlgasse--ecke-franz-josef-strasse/","pm25","2017-03-29 02:00:00","+01:00",21,NA,4.2,NA,NA,10,86,4.21,NA,NA,NA,1025,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"68","Andechstrasse 21",17,2898,47.27129,11.4169445,"http://aqicn.org/city/austria/andechstrasse-21/","pm10","2017-03-29 02:00:00","+01:00",NA,NA,19.2,NA,NA,17,75,8.15,NA,NA,NA,1027,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"69","10. Oktober-Strasse 9, Schulzentrum",12,2899,46.8013888888889,13.4938888888889,"http://aqicn.org/city/austria/10.-oktober-strasse-9--schulzentrum/","pm10","2017-03-29 02:00:00","+01:00",NA,NA,9.2,NA,NA,12,79,0.25,NA,NA,NA,1022,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"70","Waldsiedlungsstraße 5, gegenüber Föhrenweg 10",8,2900,46.55693,13.70541,"http://aqicn.org/city/austria/waldsiedlungsstrasse-5--gegenuber-fohrenweg-10/","pm10","2017-03-29 02:00:00","+01:00",NA,NA,NA,NA,1.1,8,81,-3.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"71","Enet der Ach, B179",NA,2901,47.44757414,10.74413658,"http://aqicn.org/city/austria/enet-der-ach--b179/","","","+0100",NA,NA,NA,NA,NA,NA,49,20.15,1,NA,NA,1011,0,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"72","Josef Stelzhamer-Straße",16,2902,47.4885583,12.066633,"http://aqicn.org/city/austria/josef-stelzhamer-strasse/","pm10","2017-03-29 02:00:00","+01:00",NA,NA,12.4,NA,NA,16,70,5.16,NA,NA,NA,1027,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"73","Flurgasse 2, Ecke Oberdorfer Straße, Parkplatz vor Spar",NA,2903,47.409444444444,15.253333333333,"http://aqicn.org/city/austria/flurgasse-2--ecke-oberdorfer-strasse--parkplatz-vor-spar/","","","+0100",NA,NA,NA,NA,NA,NA,87,13.15,1,NA,NA,1017,10,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"74","St. Martin, Anton Buchalka-Straße 13, Ecke Friedhofweg",10,2904,47.4458333333333,15.29032,"http://aqicn.org/city/austria/st.-martin--anton-buchalka-strasse-13--ecke-friedhofweg/","pm10","2017-03-29 02:00:00","+01:00",NA,NA,8.7,NA,NA,10,80,4.68,NA,NA,NA,1024,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
